7 126 882 
2 123 441.288635 847.865723
3 123 427.562622 867.169800
4 123 437.798767 839.239258
5 123 430.018494 874.586914
6 123 420.586853 873.732971
0 124 226.000000 853.000000
1 124 230.541870 834.775269
2 124 231.649292 833.651306
3 124 220.576904 852.083862
4 124 229.775696 824.510010
5 124 223.047180 859.147583
6 124 213.787109 858.363220
0 125 173.000000 846.000000
1 125 151.510010 811.489319
2 125 153.786621 796.493286
3 125 118.353394 798.270630
4 125 125.923584 784.200317
5 125 120.750000 805.199646
6 125 110.692627 817.874756
0 
0 
0 
0 
0 
0 
1781 
0 
0 
0 
0 
0 
0 
0 
0 
1781 
0 
0 
0 
0 
0 
0 
0 
0 
1781 
0 
0 
0 
0 
0 
0 
0 
0 
1781 
0 
0 
0 
0 
0 
0 
0 
0 
1781 
0 
0 
0 
0 
0 
0 
0 
0 
1781 
0 
0 
0 
0 
0 
0 
0 
0 
1781 
0 
0 
-0.072000 
0.023667 
0.300000 
-0.101667 
-0.102556 
0.300000 
-0.087222 
-0.107444 
0.300000 
-0.120111 
-0.104778 
0.300000 
-0.101889 
-0.084333 
0.300000 
0.119111 
0.019222 
0.300000 
-0.023778 
-0.048111 
0.300000 
-0.109000 
-0.103444 
0.300000 
-0.105778 
-0.073111 
0.300000 
-0.120111 
-0.087889 
0.300000 
-0.125444 
-0.080333 
0.300000 
-0.080444 
-0.103222 
0.300000 
-0.076889 
-0.106000 
0.300000 
-0.116333 
-0.109444 
0.300000 
-0.116333 
-0.104333 
0.300000 
-0.120222 
-0.084667 
0.300000 
-0.081111 
-0.080556 
0.300000 
-0.105222 
-0.111444 
0.300000 
-0.077556 
-0.084889 
0.300000 
-0.123889 
-0.105222 
0.300000 
-0.099444 
-0.105889 
0.300000 
-0.112667 
-0.109000 
0.300000 
-0.095889 
-0.102111 
0.300000 
-0.070000 
-0.105222 
0.300000 
-0.103333 
-0.081444 
0.300000 
0.010000 
0.030222 
0.300000 
-0.096222 
-0.080778 
0.300000 
-0.064222 
-0.082000 
0.300000 
-0.076889 
-0.102778 
0.300000 
-0.101667 
-0.105889 
0.300000 
-0.008889 
-0.132333 
0.300000 
-0.073333 
-0.108889 
0.300000 
-0.092667 
-0.085222 
0.300000 
-0.127667 
-0.083667 
0.300000 
-0.070889 
-0.082667 
0.300000 
-0.098000 
-0.108889 
0.300000 
-0.083778 
-0.107000 
0.300000 
-0.090889 
-0.104556 
0.300000 
-0.051222 
-0.103000 
0.300000 
-0.013778 
-0.128778 
0.300000 
-0.099889 
-0.079444 
0.300000 
-0.127667 
-0.104000 
0.300000 
-0.127667 
-0.109111 
0.300000 
-0.085111 
-0.104111 
0.300000 
-0.064444 
-0.077333 
0.300000 
-0.121667 
-0.113889 
0.300000 
0.125667 
0.004111 
