Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 1000

feature | (x,y)=val
    517 | (1274.775513,558.164001)=    0 
    518 | (1518.367554,462.927521)=    0 
    519 | (310.782867,755.302185)=    0 
    520 | (369.398529,548.376404)=    0 
    521 | (426.240753,389.329651)=    0 
    522 | (766.329163,381.213074)=    0 
    523 | (101.351410,783.346680)=    0 
    524 | (1621.139282,483.016907)=    0 
    525 | (253.134186,378.825592)=    0 
    526 | (828.138977,352.463043)=    0 
    527 | (-1.000000,-1.000000)=   -4 
    528 | (420.702911,1016.196594)=    0 
    529 | (367.558289,978.406616)=    0 
    530 | (1493.672729,606.992554)=    0 
    531 | (167.647476,564.081665)=    0 
    532 | (1556.623169,531.927063)=    0 
    533 | (809.488831,487.821594)=    0 
    534 | (519.753235,106.189262)=    0 
    535 | (440.611298,959.257385)=    0 
    536 | (1246.711060,500.515656)=    0 
    537 | (770.389343,652.396973)=    0 
    538 | (288.538147,438.906097)=    0 
    539 | (1827.923706,284.781311)=    0 
    540 | (1733.649414,172.325943)=    0 
    541 | (1611.013672,366.952026)=    0 
    542 | (933.139404,97.297478)=    0 
    543 | (1644.761230,306.752289)=    0 
    544 | (1731.010132,93.790527)=    0 
    545 | (825.136292,452.733582)=    0 
    546 | (867.893372,341.817444)=    0 
    547 | (317.156921,797.464844)=    0 
    548 | (1077.733643,365.012238)=    0 
    549 | (1659.248901,619.413208)=    0 
    550 | (471.520630,603.982178)=    0 
    551 | (348.037689,415.132263)=    0 
    552 | (337.792328,378.531738)=    0 
    553 | (1781.299438,190.285370)=    0 
    554 | (1403.123657,71.426781)=    0 
    555 | (1361.758667,609.691284)=    0 
    556 | (1511.713013,811.661438)=    0 
    557 | (1562.924072,611.629456)=    0 
    558 | (209.810120,539.095581)=    0 
    559 | (1551.175781,309.523163)=    0 
    560 | (1458.582397,138.894485)=    0 
    561 | (1752.083008,326.626984)=    0 
    562 | (450.598022,549.146057)=    0 
    563 | (665.396790,973.970581)=    0 
    564 | (1662.066650,579.804993)=    0 
    565 | (392.482788,1010.031128)=    0 
    566 | (101.650948,729.706299)=    0 
    567 | (788.702515,355.731720)=    0 
    568 | (-1.000000,-1.000000)=   -4 
    569 | (1559.262329,349.105377)=    0 
    570 | (96.768150,549.355713)=    0 
    571 | (146.091003,465.367523)=    0 
    572 | (1053.078735,345.329742)=    0 
    573 | (429.451477,991.758728)=    0 
    574 | (465.928223,468.358551)=    0 
    575 | (528.941833,988.604492)=    0 
    576 | (998.609741,156.049789)=    0 
    577 | (138.188126,555.722229)=    0 
    578 | (1200.989990,557.194336)=    0 
    579 | (1837.520874,263.633392)=    0 
    580 | (666.327881,162.829178)=    0 
